순위,도서명,저자,출판사,출판일,정가,판매가,평점,리뷰수,상품코드,상세설명
200,AI를 움직이는 물질,손현주,커뮤니케이션북스,2026-01-27,12000,12000,0.0,0,S000219079882,"AI를 비물질적 기술로 소비하는 습관을 뒤집는다. 데이터센터의 전기·물, 반도체와 배터리 광물, 보이지 않는 노동과 공급망이 AI를 움직인다. 혁신의 이면을 ‘물질’의 관점에서 해부하며 지속가능한 선택을 묻는다. AI문고. aiseries.oopy.io에서 필요한 인공지능 지식을 찾을 수 있다."
201,2026 빠르게 따는 SQLD SQL 개발자,이유성 외,골든래빗(주),2026-01-26,24000,21600,10.0,24,S000219025005,"SQL 개발자(SQLD) 자격증 취득을 고민하고 계신가요? 《2026 빠르게 따는 SQLD》는 수험생의 시간을 가장 가치 있게 만들어줄 단 하나의 완벽한 가이드입니다.
이 책은 데이터 모델이나 SQL이 낯선 ‘노베이스’ 수험생의 눈높이에 맞춰 쉽고 친절한 설명을 담았습니다. 특히 책을 한 번 완독하는 것만으로도 이론과 문제를 각각 2회독하는 놀라운 학습 효과를 경험할 수 있도록 체계적으로 설계했습니다.
학습자의 수준에 맞춘 최적의 학습 단계를 제시하여 효율성을 높였으며, 시험장에 반드시 챙겨가야 할 핵심만을 모은 ‘특별 부록(2권)’을 수록하였습니다. 빈출 족보부터 최신 기출, 수준별 모의고사, OX 퀴즈까지! 이 책 한 권이면 2026년 SQLD 합격의 문이 활짝 열립니다. 지금 바로 가장 빠른 합격의 길을 선택하세요!"
202,누구나 아는 나만 모르는 제미나이,누나IT(이성원),한빛미디어,2026-01-23,19000,17100,9.62,29,S000218941784,"구글이 만든 요즘 대세 AI 제미나이, 이 책은 IT에 서툰 분도 단숨에 제미나이를 다룰 수 있도록 세상에서 가장 쉽고 친절하게 설명합니다. 최신 버전인 제미나이 3을 기준으로 복잡한 기술 설명은 싹 빼고 당장 써먹을 수 있는 핵심 기능만 눌러 담았습니다.
제미나이뿐만 아니라 이미지를 생성하는 나노바나나 프로, 연구 및 글쓰기 작업에 특화된 노트북LM, 동영상을 만드는 Veo 3.1까지 배울 수 있으며, 나만의 챗봇 ‘젬’을 만드는 방법, 구글 AI 스튜디오와 구글 랩스를 활용하는 방법까지 안내합니다. 여기에 [유튜브 동영상 강의 11개]를 무료로 제공해 책을 읽으면서 바로 실습하고, 활용할 수 있습니다.
제미나이와 다양한 AI 도구가 어렵게만 느껴졌다면 지금이 가장 좋은 기회입니다. 이 책은 읽기만 해도, 따라 하기만 해도 여러분의 일상과 업무 효율이 달라지는 가장 확실한 AI 입문서입니다. 이제 더 이상 ‘나만 모르나?’ 불안해하지 마세요. 이 책과 함께라면 누구보다 빠르게, 누구보다 쉽게 제미나이와 구글 AI를 내 것으로 만들 수 있습니다."
203,멘토시리즈 MOS 365 파워포인트,코리아교육그룹 교육연구소,코리아교육그룹,2026-01-21,17000,15300,10.0,2,S000219135223,"본 교재는 새롭게 시행된 MOS 365 최신 평가 항목을 기준으로 출제 유형을 분석하여 출간되었습니다. 

최신 MOS 365 Associate 자격증 대비 실전 교재!!

PowerPoint 기초 이론 → MOS 유형 문제 → 실전 모의고사 → 기출 복원 문제의 단계별 구성 제공
① PowerPoint 기초 이론 : MOS 365 Associate 레벨을 대비한 PowerPoint 기초이론 수록
② MOS 유형 문제 : 최신 평가 항목만을 반영한 유형 문제 수록
③ 실전 모의고사 : 출제 유형에 맞는 감각을 기를 수 있는 모의 문제들만 수록
④ 기출 복원 문제 : 실제 기출문제를 복원하여 합격률을 높일 수 있는 기출 예상 문제 수록

★ 본 교재의 예제파일은 아래 웹하드에서 다운로드 받아 활용하시기 바랍니다.★
웹하드(http://www.webhard.co.kr) 〉 아이디 : kegstore01, kegstore02 / 비밀번호 : 0000
경로 : 웹하드 사이트 접속〉 로그인〉 내리기전용 폴더 선택〉 해당 교재 폴더 선택〉 다운로드"
204,"우리, 프로그래머들",로버트 C. 마틴,길벗,2026-01-20,31000,27900,9.51,39,S000218933697,"생성형 AI가 코드를 만들어 내는 시대, 그럴수록 우리는 자연스럽게 다시 질문하게 된다. 우리는 누구이며, 왜 여전히 프로그래머로서 이 일을 계속하는가. 이 책은 『Clean Code』의 저자이자 소프트웨어 업계의 살아 있는 전설 로버트 C. 마틴(엉클 밥)이 약 60년에 걸쳐 현장에서 직접 겪어 온 경험과 프로그래밍의 역사를 하나의 흐름으로 엮어, 기술 그 자체를 넘어 프로그래머라는 존재의 본질을 다시 바라보게 한다. 컴퓨터의 탄생에서 애자일을 거쳐 AI에 이르기까지 기술은 쉼 없이 변화해 왔지만, 문제를 정의하고 그 결과에 책임지며 세상을 조금 더 나은 방향으로 이끌고자 했던 사람들의 정신만큼은 변하지 않았음을 이야기한다. 프로그래머의 미래를 불안하게 바라보는 이들에게 『우리, 프로그래머들』은 도구는 달라져도 방향을 결정하는 존재는 여전히 사람이며, 그 이름이 바로 우리, 프로그래머들이라는 메시지를 분명하게 전하고 있다."
205,2026 에듀윌 전산회계 1급 2주끝장,김성수,에듀윌,2026-01-16,28000,25200,10.0,8,S000219018478,"왕초보도 전 범위 100% 무료강의와 최신기출로 첫 시험에 바로 합격!
1. 이론+실무+최신기출 12회분+전 범위 100% 무료강의 제공
2. 핵심이론+빈출분개 155선 제공
3. 분개 문제를 반복 생성하는 AI 서비스 〈듀봇〉 제공"
206,진짜 포토샵+with AI(멘토시리즈),코리아교육그룹 교육연구소,코리아교육그룹,2026-01-16,28000,25200,10.0,14,S000219252627,"멘토시리즈 포토샵이 새롭게 돌아왔습니다.

이 책은 포토샵을 처음 접하는 사람들을 위해 도구와 이론 설명을 충실하게 다루고 있습니다.
지나친 예제 위주의 설명으로 옵션이나 도구에 대한 개념을 소홀히 할 수 있는 부분을 보완했으며, 실습을 통해 실무에서 활용할 수 있는 예제와 테크닉을 배울 수 있습니다.
각 섹션은 Theory(이론) - Practice(실습 예제) - Exercise(연습 예제)로 구성되어 기능을 체계적으로 배울 수 있도록 구성했습니다.

본권 구매 시, 별책 부록과 핵심 단축키 패드를 드립니다.(책과 랩핑)"
207,2026 에듀윌 전산회계 2급 2주끝장,박진혁,에듀윌,2026-01-16,22000,19800,10.0,4,S000219018494,"왕초보도 첫 시험에 바로 합격!
1. ‘이론+실무+최신기출 12회분’ 전 범위 100% 무료강의 제공
2. 핵심이론+빈출분개 100선 제공
3. 분개 문제를 반복 생성하는 AI 서비스 〈듀봇〉 제공"
208,2026 이기적 정보보안기사 필기+실기 올인원,임호진,영진닷컴,2026-01-15,49000,44100,10.0,15,S000218331600,"정보보안기사 필기와 실기 시험을 한 권으로 준비할 수 있는 〈2026 이기적 정보보안기사 필기+실기 올인원〉 도서가 이기적에서 출간되었습니다. 1권에는 전문가가 개정 법령과 최신 출제 경향을 면밀히 분석한 후 핵심 내용만을 엄선하여 담았습니다. 또한 이론과 연계된 기출문제를 함께 수록해 학습 후 바로 실력을 점검할 수 있습니다. 2권과 3권에는 필기 및 실기 기출문제를 각각 5회분씩 수록하여, 이론 학습부터 실전 감각까지 익힐 수 있도록 구성했습니다. 특히 단답형 연습문제를 통해 서술형·기술형 시험 유형을 자연스럽게 연습할 수 있습니다. 더불어 저자의 무료 동영상 강의와 구매 인증 시 제공되는 다양한 학습 자료를 함께 활용한다면 합격에 한 걸음 더 가까워질 수 있습니다."
209,2026 이기적 웹디자인개발기능사 필기+실기 올인원,이민희,영진닷컴,2026-01-15,41000,36900,10.0,3,S000218779120,"‘2026 이기적 웹디자인개발기능사 필기+실기 올인원’ 도서가 출간되었습니다. 시험에 나오는 핵심이론 학습부터 실제 풀어볼 수 있는 문제 구성까지 한 권으로 완벽하게 끝낼 수 있도록 구성하였습니다. 1권에서는 필기 시험의 핵심 이론과 연계된 문제를 수록하여 순서대로 공부하기만 해도 풀이 방법을 빠르게 익힐 수 있습니다. 또한 처음 준비하는 수험생들을 위해 이론 부분의 동영상 강의를 무료로 제공하고 있습니다. 문제 풀이를 익혔다면, 마지막으로 실전 모의고사를 통해 시험 직전 학습의 효과를 최대로 끌어올릴 수 있도록 하였습니다. 아울러 2권에는 실기 기본 프로그램에 대한 설명과 기출 유형 문제 6회분(A~F형)을 함께 수록하여 실전에 확실하게 대비할 수 있도록 하였습니다. 뿐만 아니라 추가적으로 문제를 더 풀어보고 싶은 독자들을 위해 이기적 스터디 카페에 구매 인증을 진행하면 자료로 또기적 합격자료집을 제공합니다. 학습 플래너 및 실기 추가 2회분의 기출 유형 문제 PDF 등 다양한 자료를 묶어 제공하고 있으니 확인 부탁드립니다."
210,2026 이기적 정보처리기사 필기 기본서,강희영 외,영진닷컴,2026-01-15,35000,31500,10.0,7,S000218641525,"정보처리기사 필기 시험의 빠른 합격을 위한 지름길, [2026 이기적 정보처리기사 필기 기본서] 도서가 이기적에서 출간되었습니다. 2026년 출제기준을 분석, 반영하여 정보처리기사 필기 시험에 대비할 수 있도록 구성하였습니다. 1/2권의 이론서로 시험에서 꼭 알아야 하는 내용을 공부하고 이론을 확인하는 기출문제로 워밍업한 후, 3권의 기출공략집에서 지금까지 자주 출제된 대표 이론과 문제를 다시 복습하고 최신 기출문제를 풀어보세요. 이기적은 여러분의 합격을 응원합니다!"
211,2026 이기적 정보처리기사 실기 기출 600제,이성행,영진닷컴,2026-01-15,29000,26100,8.0,4,S000218881966,"본 도서는 정보처리기사 실기 시험의 최신 출제경향을 분석하여 적용한 도서로, 문제를 많이 풀어보고 싶은 수험생들이 혼자서도 학습할 수 있도록 한 완벽 대비서이다. 시행처인 산업인력공단에서 공개한 출제기준을 바탕으로 집필되었으며, 기초 이론을 담은 핵심문제를 순차적으로 공부하며 시험유형과 부족한 부분을 체크하고, 기출 복원 문제로 시험장에 들어가기 전까지 합격을 위한 점검을 할 수 있도록 구성하였다. 또한 별책으로 제공되는 SQL, C, Java, Python 공략집은 비중이 큰 프로그래밍 과목을 동영상 강의와 함께 공부할 수 있도록 지원하여 더욱 철저한 시험 대비를 돕는다."
212,2026 이기적 리눅스마스터 2급(1·2차) 기본서,권소라,영진닷컴,2026-01-15,28000,25200,8.91,12,S000218787227,"‘2026 이기적 리눅스마스터 2급(1·2차) 기본서’ 도서가 이기적 영진닷컴에서 출간되었습니다. 본 도서는 리눅스마스터 2급 1·2차 시험을 효율적으로 준비할 수 있도록 핵심이론과 출제 유형을 한 권에 정리한 수험서입니다. 시험에 자주 등장하는 내용을 중심으로 이론을 체계적으로 정리하고, 합격을 다지는 예상문제를 통해 각 단원별로 실력을 점검할 수 있도록 구성하였습니다. 또한 해설과 함께 보는/해설과 따로 보는 최신기출문제 각 5회분(2025년 최신 기출문제 2회분 포함)을 수록하여, 기본 개념 학습부터 실전 문제풀이 연습까지 한 번에 대비할 수 있습니다. 무료 동영상 강의와 또기적 합격자료집 PDF, CBT 온라인문제집을 함께 제공하여, 리눅스마스터 2급 합격에 필요한 이론 정리와 실전 연습을 단기간에 완성할 수 있습니다."
213,AI 로봇 구조 교과서,유승남,보누스,2026-01-15,23000,20700,10.0,17,S000218939066,"현직 로봇 연구자가 인공지능 로봇의 구조와 원리를 상세히 설명한 책이다. 엔비디아, 테슬라, 구글 등 글로벌 빅테크 기업들이 주도하는 AI 로봇 산업의 최신 기술 트렌드는 물론이고 로봇이 세상을 감각하고 이해하며 행동하는 원리를 간명하게 소개한다.
시각과 청각을 통합하는 멀티모달 AI, 스스로 시행착오를 겪으며 성장하는 강화학습, 가상 공간을 활용한 시뮬레이션 등 로봇을 똑똑하게 만드는 구체적인 기술들을 풍부한 사례와 함께 책에 담았다. 나아가 기술적 지식을 넘어 로봇의 자아 인식, 윤리적 책임, 인간과의 공존 가능성이라는 철학적 질문까지 던진다. AI 로봇의 현재와 미래를 꿰뚫어 보고 싶은 독자에게 이 책은 친절하고 깊이 있는 안내서가 돼준다."
214,2026 이기적 컴퓨터활용능력 1급 필기 절대족보,홍태성 외,영진닷컴,2026-01-15,22000,19800,7.5,4,S000218356127,"〈2026 이기적 컴퓨터활용능력 1급 필기 절대족보〉는 단시간에 합격을 목표로 하는 수험생을 위해 집필된 핵심 요약서입니다. ‘1권 핵심이론+2권 기출문제’의 최적의 교재 구성으로, 짧은 기간에도 집중적인 시험 대비가 가능합니다. 1권에서는 자주 출제되는 엑셀/액세스 기능을 따라하며 필수 기능을 확실하게 정리하고, 핵심이론 65 POINT로 시험에 꼭 나오는 필수 개념만 빠르게 학습할 수 있습니다. 또한 이론 학습 직후 연계된 기출문제를 풀며 부족한 부분을 완벽하게 보완할 수 있습니다. 2권에는 빈출 기출 120선과 최신 기출문제 15회분을 수록하여 출제 경향을 파악하고 실전 감각을 빠르게 끌어올릴 수 있습니다. 교재 구매 시 저자 직강 동영상 강의를 전 강좌 무료로 제공하며, 구매 인증만으로 특별 제공되는 ‘또기적 합격자료집(PDF)’으로 시험 전까지 빈틈없이 마무리할 수 있습니다."
215,2026 이기적 프로그래밍기능사 필기 기본서,김흥식(한다맨),영진닷컴,2026-01-15,20000,18000,9.35,13,S000218704533,"《2026 이기적 프로그래밍기능사 필기 기본서》가 자격증 전면 개편 후, 새 이름, 새 기준, 완전히 새로워진 시험에 맞게 새롭게 출간되었습니다. 이기적 도서는 정보처리기능사에서 프로그래밍기능사로 변경된 새로운 자격증을 위한 ‘국내 최초 기본서’로 변화에 가장 먼저 대응하여 기초부터 실전까지 한 번에 잡는 이론서+기출공략집으로 구성되어 있습니다. 노베이스&비전공자도 이해할 수 있게 친절한 설명 중심으로 이론을 구성하였고, 중간중간 문제를 배치하여 이론은 빠르게 복습할 수 있도록 하였습니다. “이 책을 본 수험생이 새로운 시험에 가장 빠르게 적응한다!”는 것을 목표로 집필되었으므로, 정보처리기능사에서 프로그래밍기능사로 바뀐 새 시험에 대비할 최적의 기본서입니다."
216,2026 이기적 사무자동화산업기사 필기 절대족보,신면철 외,영진닷컴,2026-01-15,20000,18000,9.85,27,S000218741638,"2026년부터 적용되는 새로운 출제 기준에 맞추어 『이기적 사무자동화산업기사 필기 절대족보』를 전면 개정하였습니다. 손에 잡히는 핵심이론부터 출제 예상문제 10회분까지 단기완성으로 끝낼 수 있도록 구성하였습니다. 

1권에는 필기 시험의 핵심 이론과 연계된 단답형&객관식 문제를 함께 수록하여, 순서대로 공부하기만 해도 문제 유형과 풀이 방법을 빠르게 익힐 수 있습니다. 필기 시험을 처음 준비하는 수험생도 차근차근 따라할 수 있도록 이론 부분의 동영상 강의를 무료로 제공하고 있습니다. 

아울러 2권에는 자주 출제되는 기출문제 195선(변경된 출제 기준을 토대로 사무자동화산업기사, 정보처리산업기사 시험에서의 빈출문제 선별)을 추려 개념과 함께 익힐 수 있도록 하였고, 마지막으로 출제 예상문제 10회분을 통해 확실한 실전 대비용 도서로 구성하였습니다.

뿐만 아니라 모의고사를 더 풀어보고 싶은 독자들을 위해 이기적 스터디 카페의 구매인증을 통해 받으실 수 있는 최종 모의고사 3회분을 제공해드립니다."
217,2026 피지컬 AI 컴퓨팅: 센서편,김석진 외,골든벨,2026-01-12,33000,29700,10.0,2,S000218729830,"생성형 AI(챗GPT, Gemini 등)의 사용이 일상화되었고, 더 나아가 AI는 우리 주변의 다양한 '물리적인(Physical)' 장치들 속으로 깊숙이 파고들고 있다. 스스로 판단하여 움직이는 로봇, 데이터를 수집하면서 환경을 최적화하는 스마트 팜, 자동화 생산을 넘어 설계부터 조립까지 전체 공정을 제어하는 스마트 팩토리, 그리고 궁극적으로 자율주행 자동차에 이르기까지, 이 모든 것의 중심에는 ‘피지컬 AI 컴퓨팅(Physical AI Computing)’이 자리 잡고 있다.

이 책은 컴퓨터 비전공자는 물론, AIoT(사물지능융합기술)의 기초를 다지고 싶은 모든 분을 위해 만들었다. 우리는 어렵고 복잡한 이론 설명보다는, 작지만 강력한 컴퓨터인 라즈베리파이와 배우기 쉽고 문법이 간단한 프로그래밍 언어인 파이썬을 활용한다. 특히 ‘gpiozero’ 패키지는 기존의 저수준 GPIO 제어 라이브러리와 달리, 고수준의 추상화를 제공하여 복잡한 GPIO 설정 없이도 초보자가 센서와 액추에이터를 쉽고 직관적으로 다룰 수 있도록 돕는다."
218,2026 에듀윌 ADsP 데이터분석 준전문가 2주끝장,윤소영,에듀윌,2026-01-11,28000,25200,8.33,7,S000218881748,"1. 최신기출 완벽 분석! 압축 정리한 49개의 핵심이론+개념 확인 문제
2. 학습한 이론을 문제로 바로 확인할 수 있도록 이론/문제 연계 구성
3. 실력 최종 점검! 2024-2025 기출 복원 모의고사 8회분 제공"
219,2026 시나공 정보처리기사 필기 기출문제집,길벗알앤디,길벗,2026-01-05,23000,20700,10.0,12,S000218500350,"정처기 실전 매뉴얼! 〈2026 시나공 정보처리기사 필기 기출문제집〉
2026 시나공 정보처리기사 필기 기출문제집은 최신기출문제를 모아 만든 실전 대비용 초단타 합격 전략집입니다. 

■ 〈시나공〉에서만 만날 수 있는 합격 비법
- 최신 출제 경향 반영: 철저한 기출문제 분석을 통해 확실한 시험 대비가 가능합니다.
- 최신 기출문제 수록: 2025년 최신기출문제까지 총 15회의 기출문제를 수록했습니다.
- 상황별, 개인별 우선순위 학습: 시험에 출제된 빈도에 따라 A, B, C, D등급을 정해두어 개인별 상황에 맞춰 우선순위를 선정, 학습 효율을 극대화할 수 있습니다.
- 핵심요약집 제공: 최근 10년간 출제된 기출문제를 분석해 합격에 필요한 핵심 개념 376개만 공부하면 문제의 답이 저절로 보입니다. 
- 저자 무료 강의 지원 : 유튜브와 홈페이지에서 핵심별 저자 무료 강의를 제공합니다.
- 꾸준히 업데이트되는 최신 자료 : 시나공 홈페이지(sinagong.co.kr)에서 핵심요약집, 최신기출문제 등 시험에 필요한 자료를 확인할 수 있습니다."
220,2026 시나공 컴퓨터활용능력 1급 실기 기출문제집,길벗알앤디,길벗,2026-01-05,22000,19800,9.69,9,S000218629624,"2026 시나공 컴퓨터활용능력 1급 실기 기출문제집은 최신기출문제를 분석해 만든 실전 대비용 초단타 합격 전략집입니다. 

■〈시나공〉에서만 만날 수 있는 합격 비법
- 최신 출제 경향 반영: 철저한 기출문제 분석을 통해 확실한 시험 대비가 가능합니다.
- 최신 기출 유형 수록: 2025년 최신기출문제까지 분석한 총 10회의 기출 유형을 수록했습니다.
- 저자 무료 강의 지원 : 유튜브와 홈페이지에서 저자 무료 강의를 제공합니다.
- 꾸준히 업데이트되는 최신 자료 : 시나공 홈페이지(sinagong.co.kr)에서 최신기출문제, 실기특강 등 시험에 필요한 자료를 확인할 수 있습니다."
221,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗(주),2026-01-01,26000,23400,10.0,9,S000218845536,"《이게 되네? AI 쇼츠 만들기 미친 자동화 22제》는 코딩 지식이 전혀 없어도 콘텐츠 수집부터 수익 창출까지 모든 과정을 '딸깍' 한 번으로 완성하는 숏폼 자동화의 끝판왕 실전 가이드입니다. 이 책은 1인 창작자에게 AI와 노코드 기술을 활용하여 반복 업무에서 벗어날 수 있게 도와주고, 확장 가능한 수익 구조를 알려줍니다.
숏폼 자동화와 개인 브랜드 수익화 시스템을 연구·구축해 온 전문가 천은영 저자는, 이 책을 통해 독자들이 하루 10분 작업만으로도 콘텐츠가 24시간 쉴 틈 없이 돌아가는 유튜브/인스타 릴스 수익 채널 완전 자동화 시스템을 직접 구축할 수 있도록 돕습니다.
특히 유튜브 쇼츠에서 실제로 수익이 검증된 시스템인 카툰썰 쇼츠와 뉴스 아바타 쇼츠 자동화 시스템 구축 방법을 상세히 안내합니다. 단순히 툴 사용법을 나열하지 않습니다. 숏폼 자동화라는 목표를 중심으로, 여러 가지 툴을 조합하는 22가지 풀코스 실전 워크플로우를 통해 자동화를 1도 모르는 초보자도 자동화 구조와 원리를 이해하고 스스로 응용할 수 있도록 구성했습니다. 더 나아가 특별부록에서는 음원 수익, 애드센스 광고 수익, 브랜드 협찬, 자체 상품/서비스 판매로 이어지는 구체적인 4단계 숏폼 수익화 실행 전략을 안내하여 수익 창출을 돕습니다. 
이 책의 저자는 독자들의 완벽한 실습을 위해 강력한 학습 지원 시스템을 제공합니다. 첫째, 저자 홈페이지와 유튜브 채널에서 최신 AI 소식과 동영상 강의를 접할 수 있습니다. 둘째, 천은영 저자가 직접 관리하는 ‘AI 자동화 & 1인 창업 커뮤니티’ 오픈카톡방에 입장하면 막히는 부분에 대해 즉시 질문하고 답변을 얻을 수 있으며, 실전 노하우와 수익화 사례를 공유하며 함께 성장할 수 있습니다. 셋째, ‘AI 쇼츠 자동화 슈퍼 프롬프트’ 웹사이트를 제공합니다. 프롬프트를 일일이 타이핑하지 말고, ‘복붙’만 하세요."
222,"어쩌다 AI, 실전으로 뛰어든 3년의 기록",심형섭,프리렉,2025-12-30,22000,19800,10.0,18,S000218858462,"어느 날 갑자기 AI 업무를 맡아야 한다면? 개발자도, 데이터 과학자도 아닌 평범한 문과 출신 공공기관 팀장이 AI라는 거대한 파도에 올라탄 3년의 기록을 한 권의 책으로 엮었습니다. 이 책은 화려한 기술 이론이나 장밋빛 미래만을 이야기하지 않습니다. 대신, 한글 문서(HWP)와 AI의 충돌, 공공조달의 아이러니, 2박 3일 서류심사를 대체하려는 AI 채용의 현실 등 철저하게 ‘현장의 언어’로 AI 시대를 진단합니다.
저자는 4,117개의 옵시디언(Obsidian) 기록과 3년간의 감사 일기를 AI로 분석하며, AI가 단순히 업무 도구를 넘어 개인의 삶과 리더십을 어떻게 확장할 수 있는지 증명해 냅니다. 정책 기획자에게는 실효성 있는 통찰을, 직장인에게는 생산성 혁명을, 그리고 리더에게는 데이터 기반의 인간관계 관리법을 제시하는 이 책은 AI 시대를 살아가는 우리 모두를 위한 실천적 지침서가 될 것입니다.

이런 분들에게 이 책을 추천합니다!
· 공공기관과 기업에서 AI 도입 및 정책 기획을 담당하게 된 실무자와 관리자
· AI 기술이 내 업무와 일상을 어떻게 바꿀지 막막한 IT 비전공 직장인
· 비전공자로서 AI 시대를 어떻게 준비해야 할지 막막한 취준생
· AI 시대의 리더십과 조직 관리에 고민이 많은 중간 관리자
· 방대한 개인 데이터를 체계적으로 정리하여 자기 계발에 AI를 활용하고 싶은 기록자"
223,파이썬 AI 애플리케이션 개발,라셸 파머 외,에이콘온,2025-12-26,33000,29700,0.0,0,S000218797385,"ChatGPT가 세상을 바꾸고 있다는 건 누구나 안다. 덕분에 너도나도 LLM API를 자사 서비스에 도입하기 시작했다. 그런데 막상 출시하고 나면 뭔가 이상하다. 분명 똑같은 LLM을 쓰는데, 왜 우리 서비스에서는 엉뚱한 답변이 나오고, 없는 정보를 지어내고, 예상치 못한 오류가 발생하는 걸까?

API를 호출하는 건 어렵지 않다. 하지만 그것만으로 실제 서비스에 투입할 수 있는 AI 애플리케이션을 만들 수 있다고 생각한다면, 조만간 한계에 부딪히게 될 것이다. 이 책은 바로 그 한계를 넘는 방법을 알려준다.

이 책의 강점은 저자진에 있다. MongoDB 머신러닝 연구 그룹을 이끄는 토마스 뤼크슈티스, 아틀라스 벡터 검색을 총괄하는 헨리 웰러, 매주 수천 명이 사용하는 MongoDB AI 챗봇을 직접 구축한 벤 펄머터와 니콜라스 라루 등 MongoDB에서 AI와 벡터 검색을 실제로 만들고 운영하는 전문가 9명이 함께 집필했다. 이론이 아닌, 실제 서비스 현장에서 검증된 노하우가 담겨 있다.

Python 기초 지식만 있으면 충분하다. 생성형 AI 시대에 단순한 API 사용자를 넘어, AI 애플리케이션의 구조를 이해하고 직접 구축할 수 있는 개발자로 성장하고 싶다면 이 책에서 시작해보자."
224,한 번에 끝내는 라마인덱스 × RAG × AI 에이전트,에디 유 외,제이펍,2025-12-18,30000,27000,0.0,0,S000218777354,"LLM 시대의 핵심 기술로 자리 잡은 RAG를 제대로 이해하려면, 단순히 ‘코드를 따라 치는 것’만으로는 충분하지 않다. 이 책은 왜 RAG가 필요한지, 어떤 구조로 설계해야 안정적인지, 언제 에이전트를 활용해야 하는지를 명확하게 설명하며, LLM 기반 시스템을 ‘설계할 수 있는 개발자’로 성장하도록 인도한다. 라마인덱스를 중심으로 인덱싱·임베딩·검색·멀티모달·에이전트까지 이어지는 흐름을 단계별로 풀어내고, 스트림릿·그라디오를 이용해 UI를 구축하는 실전 예제 코드까지 제공하여 실무에 바로 적용 가능한 역량을 쌓을 수 있게 돕는다. 튜토리얼을 넘어 실무 환경에서 반드시 필요한 판단 기준과 트러블슈팅 노하우까지 담아, RAG 기반 AI 서비스를 만들고 싶은 개발자에게 가장 확실한 출발점이 될 것이다."
225,프로그램을 읽는 기술,이와마츠 히로시,길벗,2025-12-18,20000,18000,10.0,8,S000218795409,"코드를 작성하는 것만큼이나 프로그램을 정확히 이해하는 일이 중요한 시대에 이 책은 초심자부터 실무 개발자까지, 프로그램을 ‘읽는 능력’이 왜 필수인지를 체계적으로 알려줍니다. 저자는 버그 수정, 사양 변경, 코드 리뷰 등 실무 전 과정에서 읽기 능력이 개발 효율을 좌우한다고 강조합니다. 프로그램의 구조를 파악하는 법, 한 줄씩 해석하는 요령, 입력·출력·처리의 흐름을 잡는 방법 등 실전적인 읽기 기술을 풍부한 사례와 함께 소개하며, 다양한 예제 프로그램을 직접 분석해 보도록 안내합니다. AI가 코드를 만들어주는 시대에도 최종 판단과 책임은 결국 사람의 몫이라는 메시지를 담아, 개발자가 더 빠르고 정확하게 성장하도록 돕는 실용적인 안내서입니다."
226,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규,골든래빗(주),2025-12-15,24000,21600,10.0,9,S000218638045,"이 책은 코딩 경험이 전무한 일반인도 랜딩 페이지부터 블로그까지 직접 만들 수 있도록, 저자가 수없이 실험하며 축적한 노하우를 기초부터 실전까지 체계적으로 정리했습니다. 깃허브 코파일럿을 단순히 코드 자동 완성 도구로만 쓰고 있었나요? 그렇다면 제대로 활용하지 못한 것입니다. 이 책을 통해 AI와 대화만으로 프로그램을 만드는 새로운 패러다임, ‘바이브 코딩’의 세계로 들어가보세요.
도입부에서는 기초 환경 설정과 바이브 코딩에 도움이 되는 프로그래밍 기본 지식을 엄선해 10개 챕터로 정리했고 각 개념 설명 뒤에는 곧바로 실습을 배치했습니다. 가벼운 실습으로 시작해 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 데이터 크롤러, QR 코드 생성기 등 일상에서 유용한 프로젝트를 만들어볼 수 있습니다. 이어서 유튜브 클론, 실시간 대시보드, 유튜브 자막 추출, Vercel 배포까지 확장하며 한 단계 업그레이드된 실전 기술을 경험하게 됩니다.
이 책은 단순히 프롬프트를 따라 치는 학습서가 아닙니다. 깃허브 코파일럿과 협업하여 문제를 해결하고, 31가지 프로젝트를 완성하는 과정에서 독자는 자연스럽게 프로그래밍 사고를 익힐 수 있습니다. 실패를 두려워하지 않고, 아이디어를 바로 실행으로 옮길 수 있는 AI 시대의 새로운 창작 습관을 길러주는 것이 바로 이 책의 가장 큰 가치입니다. 월 10달러만 투자해보세요. 평생 활용할 수 있는 코딩 능력을 손에 넣을 수 있습니다. 평소 프로그램을 만들고 싶다는 생각만 했다면 AI와 함께 시작해보세요."
227,인간과 AI의 언어 인지,심혜미,커뮤니케이션북스,2025-12-11,12000,12000,0.0,0,S000218732399,"인간과 AI의 언어 인지를 인지언어학 관점에서 비교 분석하며, AI 언어 생성의 본질이 ‘이해 없는 생성’임을 밝힌다. 인간의 신체 경험·정서·사회적 맥락 기반 의미 구성과 AI의 통계적 예측 메커니즘을 대비해 양자의 근본적 차이를 규명하고, 동시에 인간ᐨAI 언어 협력이 가능한 조건을 제시하는 심층적 탐구서다. AI총서. aiseries.oopy.io에서 필요한 인공지능 지식을 찾을 수 있다."
